room,x,y,zoom,edificio,piano
a:107,534,277,8,a,0
a:109,534,300,8,a,0
a:111,534,330,8,a,0
a:113,534,361,8,a,0
a:114,616,198,8,a,0
a:115,534,396,8,a,0
a:117,534,434,8,a,0
a:118,616,260,8,a,0
a:119,534,475,8,a,0
a:120,616,303,8,a,0
a:121,534,512,8,a,0
a:122,616,337,8,a,0
a:123,534,541,8,a,0
a:126,616,396,8,a,0
a:128,616,432,8,a,0
a:130,616,468,8,a,0
a:132,616,505,8,a,0
a:204,452,122,8,a,1
a:205,713,59,8,a,1
a:206,423,122,8,a,1
a:208,395,122,8,a,1
a:210,365,122,8,a,1
a:212,337,122,8,a,1
a:214,273,122,8,a,1
a:216,237,122,8,a,1
a:218,202,122,8,a,1
a:220,162,122,8,a,1
c:277,89,487,8,c,2
c:278,108,487,8,c,2
c:279,127,487,8,c,2
c:280,146,487,8,c,2
c:281,166,487,8,c,2
c:282,184,487,8,c,2
c:283,204,487,8,c,2
c:285,302,487,8,c,2
c:286,322,487,8,c,2
c:287,340,487,8,c,2
c:288,360,487,8,c,2
c:289,379,487,8,c,2
c:290,398,487,8,c,2
c:291,416,487,8,c,2
c:292,436,487,8,c,2
c:293,454,487,8,c,2
c:294,474,487,8,c,2
c:295,492,487,8,c,2
c:296a,513,487,8,c,2
c:297,611,487,8,c,2
c:298a,629,487,8,c,2
c:298b,648,487,8,c,2
c:299,668,487,8,c,2
c:300,686,487,8,c,2
c:301,705,487,8,c,2
a:302,548,38,8,a,1
c:304,773,449,8,c,2
a:305,630,221,8,a,1
a:306,658,59,8,a,1
a:307,630,244,8,a,1
a:308,685,59,8,a,1
c:310,725,294,8,c,2
a:311,666,284,8,a,1
a:312,716,112,8,a,1
a:313,666,314,8,a,1
a:314,716,140,8,a,1
a:315,666,338,8,a,1
a:316,716,166,8,a,1
a:317,666,363,8,a,1
a:318,716,193,8,a,1
a:319,666,387,8,a,1
a:320,716,232,8,a,1
a:321,666,419,8,a,1
a:322,716,272,8,a,1
c:323,417,294,8,c,2
a:324,716,302,8,a,1
c:325,379,294,8,c,2
a:326,716,408,8,a,1
c:327,340,294,8,c,2
a:328,716,348,8,a,1
c:329a,302,294,8,c,2
c:330,204,294,8,c,2
c:331,184,294,8,c,2
c:332,166,294,8,c,2
c:333,146,294,8,c,2
c:334,128,294,8,c,2
c:335,108,294,8,c,2
c:336,90,294,8,c,2
c:338,43,326,8,c,2
c:340,43,362,8,c,2
c:341,43,381,8,c,2
c:342,43,400,8,c,2
c:343,43,419,8,c,2
c:344,43,440,8,c,2
c:345,43,459,8,c,2
c:346,128,441,8,c,2
c:347,146,441,8,c,2
c:348,165,440,8,c,2
c:355,165,341,8,c,2
c:356,145,341,8,c,2
c:357,127,341,8,c,2
c:358,88,361,8,c,2
c:359,88,381,8,c,2
c:360,88,400,8,c,2
c:361,88,421,8,c,2
c:362,303,441,8,c,2
c:363,322,441,8,c,2
c:364,340,441,8,c,2
c:365,380,421,8,c,2
c:366,380,401,8,c,2
c:367,380,383,8,c,2
c:368,380,362,8,c,2
c:369,340,341,8,c,2
c:370,322,341,8,c,2
c:371,303,341,8,c,2
c:372,281,353,8,c,2
c:374,474,441,8,c,2
c:375,492,441,8,c,2
c:376,520,441,8,c,2
c:379,511,341,8,c,2
b:38,573,212,8,b,1
c:380,492,341,8,c,2
c:381,474,341,8,c,2
c:382,428,363,8,c,2
c:383,428,382,8,c,2
c:384,428,401,8,c,2
c:385,427,423,8,c,2
b:39,588,212,8,b,1
c:390,686,441,8,c,2
c:391,727,421,8,c,2
c:392,727,400,8,c,2
c:393,727,382,8,c,2
c:395,687,341,8,c,2
c:396,668,341,8,c,2
c:397,649,341,8,c,2
b:40,603,212,8,b,1
a:401,676,287,3,a,2
a:402,574,287,3,a,2
a:403,488,287,3,a,2
a:405,308,286,3,a,2
a:406,206,287,3,a,2
b:41,619,212,8,b,1
b:42,633,212,8,b,1
b:44,662,212,8,b,1
b:45,676,212,8,b,1
b:47,705,212,8,b,1
b:48,720,212,8,b,1
b:49,734,212,8,b,1
a:ex Portineria,401,164,8,a,0
c:319,493,294,8,c,2
c:326,360,294,8,c,2
c:318,513,294,8,c,2
c:321,455,294,8,c,2
c:322,436,294,8,c,2
c:328,323,294,8,c,2
c:320,474,294,8,c,2
c:324,397,294,8,c,2
c:308,773,308,8,c,2
c:302,724,487,8,c,2
c:306,773,391,8,c,2
c:305,773,420,8,c,2
c:316,611,294,8,c,2
c:312,687,294,8,c,2
c:311,705,294,8,c,2
c:315,630,294,8,c,2
c:314,648,294,8,c,2
c:313,667,294,8,c,2
